,Unnamed: 0,Category,Shelter Agency,Shelter Address,Site Description,Phone Operating Hours,Website,Phone #,Jurisdiction ,# of Units,# of Beds,Congregate?,Setting Type,Veterans,Single Adult,Adult (18 - 24),Adult Men,Adult Women,Family ,Young Families (parents 18-24),Child(ren) (0 - 5),Child(ren) (12 - 17),Child(ren) (0 - 17),Populations Served,Sex Offender,Rent?,Eligibility Criteria,Meals Offered,Services & Amenities,Here4You,How to Apply,Application Requirements,Notes,Email,Additional Notes,Shelter Name,Latitude,Longitude
0,0,Shelter,Asian Americans for Community Involvement (AACI),"2400 Moorpark Aven, Ste 300, San Jose, CA 95128",,24/7,https://aaci.org/wellness/womens-home/get-help/,408 975 2739,,4,10,False,4 rooms,False,True,False,True,True,False,False,False,False,TRUE,Man or woman with or without child(ren) fleeing domestic violence,FALSE,No,Actively fleeing domestic violence,TRUE,"*Can stay up to 6 weeks. Extension of stay is possible, case by case",False,Call 408 975 2739,https://aaci.org/wellness/womens-home/,Pets not allowed,,Called 408 975 2730 x 224 to get through to Asian Women's Home,Asian Women's Home,37.3157247,-121.93711645
1,1,Bridge Housing Unit,HomeFirst,No Address,"Maybury Rd, South Flea Market & Berryessa BART station ",,https://www.homefirstscc.org/interim-housing,,City of San Jose,40,40,False,"Non congregate, single sleeping cabins",False,True,False,False,False,False,False,False,False,FALSE,Adults,FALSE,,"No convictions for arson, meth manufacturing, sex offenses; ability to pay minimal rent; employed or employment ready; RRH eligible",TRUE,Required services engagement; ILP workshops,False,Referral by HomeFirst Outreach,,VTA owned property,,Kamron Phinney (he). 669 308 0394. kphinney@homefirstscc.org,BHC Maybury (Bridge Housing Communities) Site #1,,
2,2,Bridge Housing Unit,HomeFirst,No Address,Felipe Ave / Caltrans ROW,,https://www.homefirstscc.org/interim-housing,,City of San Jose,40,40,False,"Non congregate, single sleeping cabins",False,True,False,False,False,False,False,False,False,FALSE,Adults,FALSE,,"No convictions for arson, meth manufacturing, sex offenses; ability to pay minimal rent; employed or employment ready; RRH eligible",FALSE,Required services engagement; ILP workshops,False,,,Caltrans owned property,,Kamron Phinney (he). 669 308 0394. kphinney@homefirstscc.org,BHC Felipe (Bridge Housing Communities) Site #2,,
3,3,Shelter,HomeFirst,"2011 Little Orchard St, San Jose, CA 95125",,,https://www.homefirstscc.org/emergency-shelters,"(408) 294-2100

408 510 7521",Santa Clara County,,250,True,congregate emergency  shelter for adults and veterans,True,True,False,False,False,False,False,True,False,FALSE,"*Adults
*Veterans",FALSE,,Must check in each day for a bed,FALSE,"adults are provided with a place to sleep and shower, 3 meals daily, and access to an array of supportive services. ",True,,,,,,Boccardo Reception Center,37.303486,-121.8708363
4,4,,HomeFirst,"2011 Little Orchard St, San Jose, CA 95125",,,,408 510 7543,,,,False,,False,False,False,False,False,False,False,False,False,FALSE,,FALSE,,,FALSE,,False,,,,,,BRC Medical Respite Program,37.303486,-121.8708363
5,5,Shelter,Bill Wilson Center,"693 S. 2nd Street, San Jose, CA 95112",,10am - 7:30pm,https://www.billwilsoncenter.org/services/all/drop.html,408 925 0231,,,10,True,,False,False,True,False,False,False,False,False,False,FALSE,Homeless youth ages 18-24,FALSE,No,"*Homeless
*18-24
*No pets
*Able bodied","TRUE
Snacks, microwave meals",,False,Internal referral by BWC ,,"Cannot miss more than 2 nights
Max 90 days. can apply for Young Adult Shelter",,,BWC Drop-In Center,37.3261343,-121.8820153149424
6,6,Shelter,Bill Wilson Center,"3490 The Alameda, Santa Clara, CA 95050",,8am to 5pm,https://www.billwilsoncenter.org/services/all/runaway.html,408 243 0222,Santa Clara County,6,12,False,"2 beds in a room
Emergency Shelter & Interim housing (up to ",False,False,False,False,False,False,False,False,True,FALSE,12-17 year olds,FALSE,No,"12-17 year old youth who are homeless, have run away, or need a safe haven","TRUE
3 meals plus snacks","Reunification services, stabilizations, case management, family counseling, ILS, rec therapy",False,Call,,"9/25/2024 - called Angeleena Yeldell, director of Safety Net Shelter
*18 if in high school
*stay 21 - 30 days, up to 90 days
*Undocumented OK
*Parent or guardian must sign papers, if not, youth can stay up to 10 days",,,BWC Safety Net Shelter,37.35388215,-121.94172052270105
7,7,Shelter,Bill Wilson Center,"713 Fremont Street, Santa Clara, CA 95050",,,,408 444 5160,,3,,False,,False,False,False,False,False,False,False,False,False,FALSE,,FALSE,,,FALSE,,False,,,,,Miranda Alcantar. Program Manager YAFS/TH-RRH. 408 444-5160. MAlcantar@bwcmail.org,BWC Young Adult Family Shelter (YAFS),37.35308946103508,-121.94180658320946
8,8,Shelter,Bill Wilson Center,"693 S. 2nd Street, San Jose, CA 95112",Same place with the BWC drop-in center,10am - 7:30pm,https://www.billwilsoncenter.org/services/all/yafs.html,408 925 0231,Santa Clara County,,10,True,Shelter & Interim housing (up to 90 days stay),False,False,True,False,False,False,False,False,False,FALSE,Young adults,FALSE,,"Must go to school or work
No pets. ",TRUE,"Life skills courses, case management, rental assistance, housing relocation, stabilization services",False,,,*Not Young Adult Family Shelter which is a separate shelter,,,BWC Young Adult Shelter (YAS),37.3261343,-121.8820153149424
9,9,Shelter,San Jose Catholic Worker,"318 N. 6th Street, San Jose, CA 95112",,,,408 297 8330,,,,False,,False,False,False,False,False,False,False,False,False,FALSE,,FALSE,,,FALSE,,False,,,Wrong phone #,,,Casa De Clara,37.3436518,-121.88855949164083
10,10,Emergency Interim Housing,Amigos de Guadalupe Center for Justice and Empowerment,"810 N. First Street, San Jose, CA 95110",,,,,City of San Jose,,,False,Noncongregate- using Pallet shelters,False,False,False,False,False,True,False,False,False,TRUE,Families witih minor children ,FALSE,,,TRUE,,True,,,Interim housing for families with case management and support transitioning to permanent housing,,,Casitas de Esperanza,37.3732439,-121.9183798
11,11,Shelter,City Team,"435 N 3rd St, San Jose, CA 95112",,,,408 294 1238,,8,16,False,Pregnent women or women with child(ren) of under 1 year old,False,False,False,False,True,False,False,True,False,FALSE,women who are new or expectant motners who are unoused or at risk of experiencing homelessness,FALSE,Pay program fee which is determined by their income,"Must have income, or eligible to have income (e.g. CalWORKs, GA, etc.)",TRUE,"They can stay for 6-12 months.
Women in recovery from substance abuse, but not required",False,Call Heritage Home for phone screening.,,"Women and new baby: under 1. 6-12 months. Call to do phone screen.
Receive CalWORKs. Pay a prog fee based on income. 
Recovery or clean",,,CityTeam Heritage Home,37.3442621,-121.8941407511249
12,12,Shelter,City Team,"1174 Old Bayshore Hwy, San Jose, CA 95112",,,,408 288 2153,City of San Jose,,28,True,congregate shelter for men; ,False,False,False,True,False,False,False,False,False,FALSE,Men,FALSE,5,Able bodied.,TRUE,"*Breakfast & dinner for everyone regardless if staying in shelter
*9 locker $15/mon/each, access at night",False,"Line up at 3:30pm. Dinner at 5pm. Check in at 6pm, Checkin cut off at 7pm; first come first serve after people who pay $5. First time at shelter will be guaranteed a bed. Two lines: (1) free; (2) $5/night. Line 2 has priority",,"*WQE visited 9/22/2024
Dinner starts at 5pm. Breadkfast: 9am. Meals are open to anyone, not only shelter residents",,,CityTeam Men's Shelter,37.364342371853205,-121.89603851094438
13,13,,City Team,"1174 Old Bayshore Hwy, San Jose, CA 95112",,,https://www.cityteam.org/get-help-programs/san-jose-mens-residential-programs,408 288 2153,,,48,True,*2 dorms; 24 beds in each dorm; bunker beds,False,False,False,True,False,False,False,False,False,FALSE,,FALSE,$300/month,"*Be able to work.
*Sober & clean
*Cannot be receiving SSI, SSDI or employment",TRUE,,False,,,*must get in by 10am. Can leave as early as $am,Info@cityteam.org,,CityTeam Turning Point (transitional housing),37.364342371853205,-121.89603851094438
14,14,,City Team,"4305 Arpeggio Street, San Jose, CA 95136",,,,408 232 5630,,,,False,,False,False,False,False,False,False,False,False,False,FALSE,,FALSE,,,FALSE,,False,,,"Transitional housing program for young women, 18 to 24, providing a bridge to independent adult living",,,CityTeam Youth Collective,37.27098025,-121.84156853533725
15,15,,,"2250 El Camino Real, Santa Clara, CA 95050",,,https://covenanthousecalifornia.org/housing-programs/,408 703 9503,,,,False,,False,False,False,False,False,False,False,False,False,FALSE,,FALSE,,,FALSE,,False,,,9/25/2024 - WQE called and left a vm,info@covenanthousecalifornia.org,"*Shelby Booker, director of SCC Programs, Covenant House CA. 408 703 9502 x 1201
*Alejandra Hernandez-Barajas, Residential Manager, Covenant House CA. 408 703 9503 x 1202; 408 669 0731; abarajas@covca.org
* Nikole Dunie, Lead RRH CM, Covenant.  House CA, Santa Clara. ndunie@covca.org 415 735 4824",Covenant House,37.3518545,-121.9642375147984
16,16,Shelter,Covenant House,No Address,,,,,,,,False,Emergency,False,False,False,False,False,False,False,False,False,FALSE,TAY 18-24,FALSE,,,FALSE,,False,,,"Our emergency shelter programs, where CHC immediately provides for youths’ basic human needs and urgent medical care. They receive a nutritious meal, take a shower with new personal care products, receive new clothes, and sleep in a warm, safe bed. They are then connected to supportive services that will help them thrive.",,,Covenant House Safe Haven ,,
17,17,,Covenant House,No Address,Transitional housing,,,,,,,False,Transitional ,False,False,True,False,False,False,False,False,False,FALSE,TAY 18-24,FALSE,,,FALSE,,False,,,"Two-Year on-site transitional living program
CHC’s transitional housing program allows young people to refine their independent living skills. For up to two years, they live on campus healing from the trauma they suffered on the streets. They learn to save money and budget to pay rent, utilities and other necessities. They save their money for their first apartment and focus on earning a living wage. ",,,Covenant House Rights of Passage,,
18,18,,Covenant House,No Address,,,,,,,,False,,False,False,False,False,False,False,False,False,False,FALSE,,FALSE,,,FALSE,,False,,,"Two-Year off-site transitional living program
Youth with a higher level of life skills are placed into our Supportive Apartment program, which provides financial assistance to youth living in off-campus apartments. During their stay CHC provides an ever-lowering percentage of their rent until they are paying the full amount. Youth in this program are responsible for the rest of their bills and personal expenses are continue to have access to all of CHC’s supportive services.",,,Covenant House Supportive Apartment Programs,,
19,19,,,No Address,RRH,,,,,,,False,,False,False,False,False,False,False,False,False,False,FALSE,,FALSE,,,FALSE,,False,,,"Permanent housing, supported by CHC up to 24 months, before youth takes over
H20 is CHC’s Rapid Re-Housing program which features short-term housing assistance along with all of CHC’s supportive services. Case managers work with youth and local landlords to find appropriate apartments, then assist youth with move-in costs, rental assistance and weekly case management to ensure success. After two years youth take over their apartment leases.",,,Covenant House H2O Hope2Opportunity,,
20,20,Emergency Interim Housing,HomeFirst,"6066 Monterey Rd., San Jose, CA 95138??",,,,,City of San Jose,78,78,False,"non congregate, single sleeping cabins",False,True,False,False,False,False,False,False,False,FALSE,Adults,FALSE,,"No convictions for arson, meth manufacturing, sex offenses; ability to pay minimal rent; employed or employment ready; RRH eligible",TRUE,Required services engagement; ILP workshops,False,,,"Private showers & restrooms
Computer lab
Garden
Dog run",,Kamron Phinney (he). 669 308 0394. kphinney@homefirstscc.org,EIH Bernal Site #1,37.2391225,-121.7733209
21,21,Emergency Interim Housing,HomeFirst,"5898 Rue Ferrari, San Jose, CA 95138",,,,,City of San Jose,98?,124?,False,Non-congregate sleeping cabins for individual adults and couples,False,True,False,False,False,False,False,False,False,FALSE,"*Adults and 
*Couples",FALSE,,"No convictions for arson, meth manufacturing, sex offenses; ability to pay minimal rent; employed or employment ready; RRH eligible",TRUE,Required services engagement; ILP workshops,False,,,"Private showers & restrooms
Computer lab
Garden
Dog run",,Kamron Phinney (he). 669 308 0394. kphinney@homefirstscc.org,EIH Rue Ferrari (Site #2),37.246617,-121.773241
22,22,Emergency Interim Housing,LifeMoves,"702 Guadalupe Pkwy, San Jose, CA 95110",Near Guadalupe River Park,,,,City of San Jose,96,96,False,"non congregate, single sleeping cabins",False,True,False,False,False,False,False,False,False,FALSE,Adults,FALSE,,"No convictions for arson, meth manufacturing, sex offenses; ability to pay minimal rent; employed or employment ready; RRH eligible",FALSE,"Showers, common kitche, laundry, storage, meeting rooms, staff offices, community garden space, community space. Required services engagement ",False,,,City owned property ,,,EIH Site #4 ,37.3503006,-121.9092747
