,Category,Shelter Managed By,Address of Shelter Management Organization,Shelter Address,Site Description,Phone Operating Hours,Website,Phone #,Jurisdiction ,# of Units,# of Beds,Congregate?,Setting Type,Survivors of Domestic Violence & Human Trafficking,Veterans,Single Adult,Adult (18 - 24),Adult Men,Adult Women,Family ,Young Families (parents 18-24),Child(ren) (0 - 5),Child(ren) (12 - 17),Child(ren) (0 - 17),Populations Served,Sex Offender,Rent / Program Fee,Eligibility Criteria,Meals Offered,Pet,Services & Amenities,Here4You,How to Apply,Application Requirements,Shelter Name,Latitude,Longitude
0,Shelter,Asian Americans for Community Involvement (AACI),"2400 Moorpark Aven, Ste 300, San Jose, CA 95128",Confidential,,24/7,https://aaci.org/wellness/womens-home/get-help/,408 975 2739,,4,10,False,4 rooms,True,False,True,False,True,True,False,False,False,False,TRUE,Man or woman with or without child(ren) fleeing domestic violence,FALSE,0,Actively fleeing domestic violence,TRUE,No,"*Can stay up to 6 weeks. Extension of stay is possible, case by case",False,Call 408 975 2739,https://aaci.org/wellness/womens-home/,Asian Women's Home,,
1,Bridge Housing Unit,HomeFirst,,"928 Felipe Avenue, San Jose, CA 95122",Felipe Ave / Caltrans ROW,,https://www.homefirstscc.org/interim-housing,,City of San Jose,40,40,False,"*Tiny home
*Shared showers and restrooms
*Communal kitchen
*Laundry room
*Computer lab",False,False,True,False,False,False,False,False,False,False,FALSE,Adults,FALSE,,"No convictions for arson, meth manufacturing, sex offenses; ability to pay minimal rent; employed or employment ready; RRH eligible",FALSE,,Required services engagement; ILP workshops,False,,,BHC Felipe Site,37.3381204,-121.85239246832509
2,Bridge Housing Unit,HomeFirst,,"1408 Mabury Road, San Jose, CA 95133","Mabury Rd, South Flea Market & Berryessa BART station ",,https://www.homefirstscc.org/interim-housing,,City of San Jose,40,40,False,"*Tiny home
*Shared showers and restrooms
*Communal kitchen
*Laundry room
*Computer lab",False,False,True,False,False,False,False,False,False,False,FALSE,Adults,FALSE,,"No convictions for arson, meth manufacturing, sex offenses; ability to pay minimal rent; employed or employment ready; RRH eligible or for RRH only",TRUE,Yes,Required services engagement; ILP workshops,False,Referral by HomeFirst Outreach,,BHC Mabury Site ,37.36426842857143,-121.87340692857143
3,Shelter,HomeFirst,,"2011 Little Orchard St, San Jose, CA 95125",,,https://www.homefirstscc.org/emergency-shelters,408 510 7521,Santa Clara County,,250,True,,False,False,True,False,False,False,False,False,False,False,FALSE,"*Adults
*Veterans",TRUE,0,Must check in each day for a bed,TRUE,Yes,"Adults are provided with a place to sleep and shower, 3 meals daily, and access to an array of supportive services. ",True,,,Boccardo Reception Center (BRC),37.303486,-121.8708363
4,Shelter,HomeFirst,,"2011 Little Orchard St, San Jose, CA 95125",Double occupancy rooms,,https://scvmc.scvh.org/medical-respite-program,,,,,False,,False,False,True,False,False,False,False,False,False,False,FALSE,,TRUE,0,,TRUE,,,False,,,Boccardo Reception Center (BRC) for Veterans,37.303486,-121.8708363
5,,HomeFirst,,"2011 Little Orchard St, San Jose, CA 95125",,,https://scvmc.scvh.org/medical-respite-program,408 510 7543,,10,20,False,,False,False,False,False,False,False,False,False,False,False,FALSE,,FALSE,,,FALSE,,,False,Referral by social workers of hospitals in Santa Clara County except VA hospital,,BRC Medical Respite Program,37.303486,-121.8708363
6,Shelter,Bill Wilson Center,,"693 S. 2nd Street, San Jose, CA 95112",,10am - 7:30pm,https://www.billwilsoncenter.org/services/all/drop.html,408 925 0231,,,10,True,,False,False,False,True,False,False,False,False,False,False,FALSE,Homeless youth ages 18-24,FALSE,,"*Homeless
*18-24
*No pets
*Able bodied","TRUE
Snacks, microwave meals",,,False,Internal referral by BWC ,,BWC Drop-In Center,37.3261343,-121.88201531494241
7,Shelter,Bill Wilson Center,,"3490 The Alameda, Santa Clara, CA 95050",,8am to 5pm,https://www.billwilsoncenter.org/services/all/runaway.html,408 243 0222,Santa Clara County,6,12,False,"2 beds in a room
Emergency Shelter & Interim housing (up to ",False,False,False,False,False,False,False,False,False,True,FALSE,12-17 year olds,FALSE,,"12-17 year old youth who are homeless, have run away, or need a safe haven","TRUE
3 meals plus snacks",,"Reunification services, stabilizations, case management, family counseling, ILS, rec therapy",False,Call,,BWC Safety Net Shelter,37.353882150000004,-121.94172052270103
8,Shelter,Bill Wilson Center,,"713 Fremont Street, Santa Clara, CA 95050",,,,408 444 5160,,4,,False,,False,False,False,True,False,False,False,False,False,False,TRUE,"Young adults with or without children under 18; or with siblings, partners, pregnant women",FALSE,,,FALSE,,Can stay up to 6 months,False,Call 408 444 5160,,BWC Young Adult Family Shelter (YAFS),37.35308946103508,-121.94180658320946
9,Shelter,Bill Wilson Center,,"693 S. 2nd Street, San Jose, CA 95112",Same place with the BWC drop-in center,10am - 7:30pm,https://www.billwilsoncenter.org/services/all/yafs.html,408 925 0231,Santa Clara County,,10,True,Shelter & Interim housing (up to 90 days stay),False,False,False,True,False,False,False,False,False,False,FALSE,Young adults,FALSE,,Must go to school or work,TRUE,No,"Life skills courses, case management, rental assistance, housing relocation, stabilization services",False,,,BWC Young Adult Shelter (YAS),37.3261343,-121.88201531494241
10,,,,No Address,,,https://www.billwilsoncenter.org/services/all/college-student-housing.html,,,,,False,,False,False,False,False,False,False,False,False,False,False,FALSE,,FALSE,,,FALSE,,,False,,,BWC College Student Hosuing Services,,
11,,,,No Address,,,https://www.billwilsoncenter.org/services/all/lgbtq-tlp.html,,,,,False,,False,False,False,False,False,False,False,False,False,False,FALSE,,FALSE,,,FALSE,,,False,,,BWC LGBTQ Transitional Living Program,,
12,,,,No Address,,,https://www.billwilsoncenter.org/services/all/maternity-tlp.html,,,,,False,,False,False,False,False,False,False,False,False,False,False,FALSE,Homeless pregnant and parenting youth ages 18-21,FALSE,,,FALSE,,,False,,,BWC Maternity Transitional Living Program,,
13,Emergency Interim Housing,Amigos de Guadalupe Center for Justice and Empowerment,,"810 N. First Street, San Jose, CA 95110",,,https://www.amigoscenter.com/casitas,,City of San Jose,25,,False,Noncongregate- using Pallet shelters,False,False,False,False,False,False,True,False,False,False,TRUE,Families witih minor children ,FALSE,,,TRUE,,,True,,,Casitas de Esperanza,37.3732439,-121.9183798
14,Shelter,Amigos de Guadalupe Center for Justice and Empowerment,,No Address,,,,,,,,False,,False,False,False,False,False,False,False,False,False,False,FALSE,,FALSE,,,FALSE,,,False,,,Comfort Suite,,
15,Emergency Interim Housing,City Team,,"435 N 3rd St, San Jose, CA 95112",,,https://www.cityteam.org/get-involved/womenofimpact,408 294 1238,,8,16,False,Pregnent women or women with child(ren) of under 1 year old,False,False,False,False,False,True,False,False,False,False,FALSE,women who are new or expectant motners who are unoused or at risk of experiencing homelessness,FALSE,Pay program fee which is determined by their income,"Must have income, or eligible to have income (e.g. CalWORKs, GA, etc.)",TRUE,,"They can stay for 6-12 months.
Women in recovery from substance abuse, but not required",False,Call Heritage Home for phone screening.,,CityTeam Heritage Home,37.344262099999995,-121.8941407511249
16,Emergency Interim Housing,CityTeam,,No Address,,,,408 885 8080,,,,False,,False,False,False,False,False,True,False,False,True,False,FALSE,Rehab program for single women and mothers of children under 5,FALSE,,,FALSE,,,False,Call House of Grace at 408 885 8080,The program ranges from 8-10 months. Women are required to obtain employment upon completion of the educational components of the program.,CityTeam House of Grace,,
17,,,,No Address,,,,,,50,,False,,False,False,False,False,False,False,False,False,False,False,FALSE,,FALSE,,,FALSE,,,False,,,CityTeam Grace Village,,
18,Shelter,City Team,,"1174 Old Bayshore Hwy, San Jose, CA 95112",,,,408 288 2153,City of San Jose,,28,True,,False,False,False,False,True,False,False,False,False,False,FALSE,Men,FALSE,$5 or free,Able bodied.,TRUE,,"*Breakfast & dinner for everyone regardless if staying in shelter
*9 locker $15/mon/each, access at night",False,"Line up at 3:30pm. Dinner at 5pm. Check in at 6pm, Checkin cut off at 7pm; first come first serve after people who pay $5. First time at shelter will be guaranteed a bed. Two lines: (1) free; (2) $5/night. Line 2 has priority",,CityTeam Men's Shelter,37.364342371853205,-121.89603851094438
19,,City Team,,"1174 Old Bayshore Hwy, San Jose, CA 95112",,,https://www.cityteam.org/programs,408 288 2153,,,48,True,*2 dorms; 24 beds in each dorm; bunker beds,False,False,False,False,True,False,False,False,False,False,FALSE,Med,FALSE,$300 ,"*Be able to work.
*Sober & clean
*Cannot be receiving SSI, SSDI or employment",TRUE,,,False,,,CityTeam Turning Point (transitional housing),37.364342371853205,-121.89603851094438
20,,City Team,,"4305 Arpeggio Street, San Jose, CA 95136",,,https://www.cityteam.org/programs,408 232 5630,,1 house,9,False,,False,False,False,True,False,True,False,False,False,False,FALSE,Young single women,FALSE,"$275/month or 30% of income whichever is less
",,No meals,No,,False,Call to do phone screening ,,CityTeam Youth Collective,37.27098025,-121.84156853533725
21,,Covenant House California,,"2250 El Camino Real, Santa Clara, CA 95050",,,https://covenanthousecalifornia.org/housing-programs/,408 703 9503 x 1200,,15,30,False,"12 rooms for 2 individuals each

3 rooms for families",False,False,False,True,False,False,False,True,False,False,TRUE,"Young people from 18 - 24

Young people with children",FALSE,$0 ,,FALSE,,,True,Calling Here4You and referred by OSH,,Covenant House ,37.3518545,-121.96423751479841
22,Emergency Interim Housing,HomeFirst,,"6066 Monterey Rd., San Jose, CA 95138??",,,,,City of San Jose,78,78,False,"non congregate, single sleeping cabins",False,False,True,False,False,False,False,False,False,False,FALSE,Adults,FALSE,,"No convictions for arson, meth manufacturing, sex offenses; ability to pay minimal rent; employed or employment ready; RRH eligible",TRUE,,Required services engagement; ILP workshops,False,,,EIH Bernal Site #1,37.2391225,-121.7733209
23,Emergency Interim Housing,HomeFirst,,"5898 Rue Ferrari, San Jose, CA 95138",,,,,City of San Jose,98?,124?,False,Non-congregate sleeping cabins for individual adults and couples,False,False,True,False,False,False,False,False,False,False,FALSE,"*Adults and 
*Couples",FALSE,,"No convictions for arson, meth manufacturing, sex offenses; ability to pay minimal rent; employed or employment ready; RRH eligible",TRUE,,Required services engagement; ILP workshops,False,,,EIH Rue Ferrari (Site #2),37.246617,-121.773241
24,Emergency Interim Housing,LifeMoves,,"702 Guadalupe Pkwy, San Jose, CA 95110",Near Guadalupe River Park,,,,City of San Jose,96,96,False,"non congregate, single sleeping cabins",False,False,True,False,False,False,False,False,False,False,FALSE,Adults,FALSE,,"No convictions for arson, meth manufacturing, sex offenses; ability to pay minimal rent; employed or employment ready; RRH eligible",FALSE,,"Showers, common kitche, laundry, storage, meeting rooms, staff offices, community garden space, community space. Required services engagement ",False,,,EIH Guadalupe (Site #4),37.3503006,-121.9092747
25,Emergency Interim Housing,PATH,,"2078 Evans Lane, San Jose, CA 95125",It is basically a shelter,,https://epath.org/wp-content/uploads/2024/05/PATH_SantaClaraFactSheet2024_FINAL.pdf,408 753 8735,City of San Jose,48,121,False,Tiny house,False,False,False,False,False,False,True,False,False,False,TRUE,Families witih children under 18,"TRUE
Maybe",0,"Following are asked but not required:
*Current ID of any kind
*SS card. OK not have it
*Birth cert from any country
*Income verification. OK not have income
*Medical insurance card",TRUE,,"Case management
Housing support
Employment support",True,,"*Here4You only refer people living in SJ to Evans Lane
*Parent must have documents showing having custody of child(ren)",Evans Lane (Emergency Interim Housing Community #3) ,37.301757615384616,-121.87653792307692
26,Shelter,Salvation Army,,"405 N 4th St, San Jose, CA 95112",,,https://siliconvalley.salvationarmy.org/silicon_valley/emmanuel-house,408 282-1175,Santa Clara County,,30,True,"congregate shelter, men only; overnight stays; 42 for TLP ",False,False,False,False,True,False,False,False,False,False,FALSE,Adult Men,"

No ",0,"Must pass a breathalyzer each day; men only 
*must have a valid gov issued ID. Valid out of state ID and foreign passports are acceptable","TRUE

7:15am - 8am Mon-Sat
5:15pm - 6pm Mon-Sat

Meals are offered to everyone, not limited to shelter residents",,"Showers
dinner, continental breakfast every day except on Sundays",False,"Line up for overnight beds at 3:30pm

If there are more than 30 men lined up, then lottery",,Emmanuel House (Overnight),37.3440692,-121.8927628
27,Shelter,"Family Supportive Housing, Inc.",,"692 N King Rd, San Jose, CA 95133",,??,,408 926 8885,Santa Clara County,35,,False,Each unit has more than one bed depending on family size,False,False,False,False,False,False,True,False,False,False,TRUE,"*Single and 
*two parent families
*Child(ren) 0-18",FALSE,"$50 deposit
$50/month fee",Literally homeless family,TRUE,,"*Case management, 
*housing, 
*employment referrals, 
*parenting classes, 
*onsite licensed daycare",,"*Fill out SJ Shelter Waitlist online: https://www.tfaforms.com/4865266 
*Call Family Supportive Housing",Must have SS card and ID card or birth cert,Family Supportive Housing,37.3661452,-121.8683013
28,Emergency Interim Housing,HomeFirst,,No Address,,,https://www.homefirstscc.org/interim-housing,,,70,,False,A motel in SJ,False,False,False,False,False,False,False,False,False,False,FALSE,,FALSE,,,TRUE,,,False,HomeFirst outreach,,First Street EIH,,
29,Shelter,LifeMoves,,"260 Commercial Street, San Jose CA 95112",,,https://www.lifemoves.org/directory/georgia-travis-house/,408 271 1630,City of San Jose,"12 family units
15 single units",51,False,non congregate shelter for single women and families ,False,False,False,False,False,True,True,False,False,False,TRUE,"*Families witih minor children 
*Single woman 18+
*No single adult man without a child or partner",FALSE,0,,TRUE,,Case management,True,,,Georgia Travis House (GTH),37.360075699999996,-121.90082898094849
30,Shelter,LifeMoves,,"813 Alice Ave, Mountain View, CA 94041",3-br house,,https://www.mountainview.gov/our-city/departments/city-manager-s-office/human-services/homelessness/sheltering-services,650 685 5880,,3,8,False,,False,False,False,False,False,False,False,False,False,False,FALSE,,FALSE,,,FALSE,,,False,,,Graduate House,37.38087437744806,-122.06694632407518
31,Shelter,HomeFirst,,"8490 Wren Ave Gilroy, CA 94020",in the National Guard Armory building,,https://www.homefirstscc.org/emergency-shelters,408 848 8023,,,120,True,,False,False,False,False,True,True,True,False,False,False,FALSE,,FALSE,0,,FALSE,,,True,,,Gilroy Shelter,37.0205721,-121.5859958
32,Shelter,,,"10 Kirk Ave, San Jose, CA 95127",,,http://veteranshousingfacility.org/,408 533 0228,,,,False,,False,False,False,False,False,False,False,False,False,False,FALSE,,FALSE,,,FALSE,,,False,,,Homeless Veterans Emergency Housing Facility (HVEHF),37.3769307,-121.82151261388108
